Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000022106,Rcbtb2,1.0976585271869557,0.4377287351458977,0.06869060837858226,0.8103485294464566,-0.4377287351458977,0.06869060837858226
ENSMUSG00000090706,Gm17233,0.012926611981808183,0.8572050415706531,0.033740619244842854,0.007027835957618029,-0.8572050415706531,0.033740619244842854
ENSMUSG00000022105,Rb1,0.9786391119886,0.031138636143118143,1,0.9577378668909459,-0.031138636143118143,1
ENSMUSG00000033446,Lpar6,0.6247336985842173,2.0463077228775655,0.00000000000000000013330301166322538,0.15109847308878763,-2.0463077228775655,0.00000000000000000013330301166322538
ENSMUSG00000022108,Itm2b,2.831085665625526,0.48371221462789205,0.03927767278551497,2.0246024087904604,-0.48371221462789205,0.03927767278552502
ENSMUSG00000022109,Med4,0.22448165197676648,-0.08193323811418862,0.8354045099288475,0.23757989890058726,0.08193323811418862,0.8354045099288475
ENSMUSG00000033405,Nudt15,0.01623708578202735,-0.17779691433717826,0.6932190869626935,0.018350460556002632,0.17779691433717826,0.6932190869626935
ENSMUSG00000022110,Sucla2,0.2943168850004375,0.06104587861122157,0.9058275899660659,0.28208952663216813,-0.06104587861122157,0.9058275899660659
ENSMUSG00000115088,Gm49165,0,-1.308381024147323,0.6160318342206589,0.0001952176654893897,1.308381024147323,0.6160318342206589
ENSMUSG00000115289,Gm49164,0.009143213352986275,-1.167204961186628,0.00046291409445258706,0.02069307254187531,1.167204961186628,0.00046291409445258706
ENSMUSG00000115704,Gm49171,0.0020493409239451996,2.4989738979102807,0.03367966583222316,0.0001952176654893897,-2.4989738979102807,0.03367966583222316
ENSMUSG00000034997,Htr2a,0.00031528321906849227,1.276581476573833,0.6839287255273445,0,-1.276581476573833,0.6839287255273445
ENSMUSG00000021996,Esd,0.5262076926253135,-0.28178078518366567,0.2797602339991607,0.6397282898087301,0.28178078518366567,0.27976023399919253
ENSMUSG00000068015,Lrch1,1.1019148506443803,0.7435132745516001,0.0009899897063505754,0.6580787503647327,-0.7435132745516001,0.0009899897063509432
ENSMUSG00000115002,Gm10847,0.008355005305315044,0.8026502882414217,0.13096660142216301,0.004685223971745353,-0.8026502882414217,0.13096660142216301
ENSMUSG00000034959,Rubcnl,0.008670288524383537,1.5920833023017638,0.0014977544951181876,0.002733047316851456,-1.5920833023017638,0.0014977544951175067
ENSMUSG00000021997,Lrrc63,0.0015764160953424613,3.151050594489975,0.05887399643832209,0,-3.151050594489975,0.05887399643832209
ENSMUSG00000021998,Lcp1,1.0339713169351203,0.8802481986178254,0.00009223710965128914,0.5616412236129742,-0.8802481986178254,0.00009223710965128914
ENSMUSG00000090054,Gm15629,0.0009458496572054767,1.4989738979102807,0.2614641500800504,0.0001952176654893897,-1.4989738979102807,0.2614641500800504
ENSMUSG00000021999,Cpb2,0.00015764160953424613,0.691618975852677,1,0,-0.691618975852677,1
ENSMUSG00000022000,Zc3h13,0.5670368694946833,0.2313856372498253,0.4109424058129361,0.4829685044207501,-0.2313856372498253,0.41094240581301755
ENSMUSG00000115615,Gm49200,0.0009458496572054767,2.4989738979102807,0.13066605775809229,0,-2.4989738979102807,0.13066605775809229
ENSMUSG00000091722,Siah3,0.004571606676493137,1.4285845700188835,0.04714187162749114,0.0015617413239151176,-1.4285845700188835,0.04714187162749114
ENSMUSG00000022002,Erich6b,0.00031528321906849227,-0.723418523426167,0.8121051161505027,0.0005856529964681691,0.723418523426167,0.8121051161505027
ENSMUSG00000034893,Cog3,0.22858033382465687,0.9044319329868036,0.00013507203054650665,0.12201104093086856,-0.9044319329868036,0.00013507203054650665
ENSMUSG00000022003,Slc25a30,0.10420110390213669,0.8334876921640144,0.0008616565970168728,0.05837008198132752,-0.8334876921640144,0.0008616565970168728
ENSMUSG00000085829,Gm4285,0.029794264201972516,1.0520212185546756,0.0009349627027970388,0.014250889580725448,-1.0520212185546756,0.0009349627027970388
ENSMUSG00000060126,Tpt1,24.18947441659193,-0.0847046708054382,0.8120688968772872,25.65316298662972,0.0847046708054382,0.8120688968773571
ENSMUSG00000067995,Gtf2f2,0.365728534119451,-0.11226867560397835,0.741125739637884,0.39531577261601414,0.11226867560397835,0.741125739637884
ENSMUSG00000046523,Kctd4,0.04792304929841082,0.3668555802671767,0.2614641500800504,0.037091356442984044,-0.3668555802671767,0.2614641500800504
ENSMUSG00000022008,Gpalpp1,0.1527547196386845,0.141784698535123,0.672404603382845,0.1384093248319773,-0.141784698535123,0.672404603382845
ENSMUSG00000022009,Nufip1,0.12674385406553387,-0.4661076858864903,0.05953958472574569,0.17511024594398256,0.4661076858864903,0.05953958472574569
ENSMUSG00000022010,Tsc22d1,0.26546847045567046,0.6856379988019485,0.004526330816592609,0.1649589273385343,-0.6856379988019485,0.004526330816592609
ENSMUSG00000052584,Serp2,0.00977377979112326,-0.5010261020897184,0.24870546529575804,0.013860454249746669,0.5010261020897184,0.24870546529575804
ENSMUSG00000115353,Gm48968,0.00015764160953424613,0.691618975852677,1,0,-0.691618975852677,1
ENSMUSG00000044350,Lacc1,0.005359814724164368,-0.7938078513175642,0.08144100823759375,0.009370447943490706,0.7938078513175642,0.08144100823759375
ENSMUSG00000034795,Ccdc122,0.010877271057862983,-0.44588454789725773,0.3049740647866166,0.014836542577193617,0.44588454789725773,0.3049740647866166
ENSMUSG00000022012,Enox1,0.0037833986288219068,1.7505126649062461,0.019759576748492554,0.0009760883274469485,-1.7505126649062461,0.019759576748492554
ENSMUSG00000067973,Gm6994,0.00015764160953424613,-0.30838102414732305,1,0.0001952176654893897,0.30838102414732305,1
ENSMUSG00000120850,Gm56765,0.00031528321906849227,-0.30838102414732305,1,0.0003904353309787794,0.30838102414732305,1
ENSMUSG00000115363,Gm49003,0.00015764160953424613,0.691618975852677,1,0,-0.691618975852677,1
ENSMUSG00000115257,Gm30467,0.00015764160953424613,0.691618975852677,1,0,-0.691618975852677,1
ENSMUSG00000075512,Gm1587,0.00047292482860273834,1.691618975852677,0.4150215593405819,0,-1.691618975852677,0.4150215593405819
ENSMUSG00000022013,Dnajc15,1.5362174849112284,0.5128067415310128,0.0284961720171796,1.0766254251739842,-0.5128067415310128,0.0284961720171796
ENSMUSG00000022014,Epsti1,1.938203589223556,1.5159691930989694,0.0000000000055339653697692465,0.6776005169136716,-1.5159691930989694,0.000000000005533965369769875
ENSMUSG00000022015,Tnfsf11,0.053913430460712175,2.047594551567718,0.000000000011002768105667,0.012884365922299721,-2.047594551567718,0.000000000011002768105667
ENSMUSG00000022016,Akap11,0.28217848106630056,0.16054669584613102,0.6160318342206589,0.25241644147778086,-0.16054669584613102,0.6160318342206589
ENSMUSG00000034731,Dgkh,0.09490024893961617,2.950353244252846,0.00000000000000000000011786953225286284,0.012103495260342162,-2.950353244252846,0.00000000000000000000011786953225286284
ENSMUSG00000120927,Gm30716,0.0006305664381369845,1.0135470707400405,0.5773788051440286,0.0001952176654893897,-1.0135470707400405,0.5773788051440286
ENSMUSG00000058997,Vwa8,0.10546223677841066,-0.6103617102216332,0.012737031578295921,0.1610545740287465,0.6103617102216332,0.012737031578295921
ENSMUSG00000115090,Gm49016,0.00015764160953424613,-0.30838102414732305,1,0.0001952176654893897,0.30838102414732305,1
ENSMUSG00000115111,Gm4632,0.1459761304287119,1.2906566617855568,0.0000624447436806118,0.05954138797426386,-1.2906566617855568,0.0000624447436806118
ENSMUSG00000071262,Zfp957,0.0033104738002191687,4.151050594489975,0.0000878870467613082,0,-4.151050594489975,0.0000878870467613082
ENSMUSG00000022018,Rgcc,1.6891298461594473,-0.07302852364746326,0.8517305157219616,1.776871191284425,0.07302852364746326,0.8517305157220784
ENSMUSG00000022020,Naa16,0.5217937275583546,-0.008720186194309587,1,0.5249403025009689,0.008720186194309587,1
ENSMUSG00000022022,Mtrf1,0.015133594515287627,-0.6857481054601111,0.03264738794271451,0.024402208186173713,0.6857481054601111,0.03264738794271451
ENSMUSG00000043881,Kbtbd7,0.02159690050619172,-0.3797656573840884,0.29248693028001455,0.028111343830472115,0.3797656573840884,0.29248693028001455
ENSMUSG00000075502,Kbtbd6,0.0009458496572054767,-4.371390821673123,0.00000000000000000000065865036641263,0.022645249196769204,4.371390821673123,0.00000000000000000000065865036641263
ENSMUSG00000022023,Wbp4,0.3236382243738073,-0.29426452168662753,0.2614641500800504,0.39687751393992926,0.29426452168662753,0.2614641500800504
ENSMUSG00000036461,Elf1,2.6412851677462936,0.8390754967694393,0.00015145658892749193,1.4764312040962544,-0.8390754967694393,0.00015145658892749624
ENSMUSG00000022024,Sugt1,0.5146998551293136,-0.05081371687571801,0.9297850217241053,0.5331394444515233,0.05081371687571801,0.9297850217241053
ENSMUSG00000022025,Cnmd,0.0036257570192876607,1.1066564751315209,0.12658673931141773,0.0015617413239151176,-1.1066564751315209,0.12658673931141773
ENSMUSG00000036422,Pcdh8,0,-1.308381024147323,0.6160318342206589,0.0001952176654893897,1.308381024147323,0.6160318342206589
ENSMUSG00000097927,Gm6999,0,-1.308381024147323,0.6160318342206589,0.0001952176654893897,1.308381024147323,0.6160318342206589
ENSMUSG00000095959,Gm10845,0.00031528321906849227,1.276581476573833,0.6669253950076651,0,-1.276581476573833,0.6669253950076651
ENSMUSG00000115542,Gm49046,0.00015764160953424613,0.691618975852677,1,0,-0.691618975852677,1
ENSMUSG00000115777,Gm32815,0.00015764160953424613,0.691618975852677,1,0,-0.691618975852677,1
ENSMUSG00000115664,Gm32913,0,-1.308381024147323,0.6160318342206589,0.0001952176654893897,1.308381024147323,0.6160318342206589
ENSMUSG00000022021,Diaph3,0.09994478044471204,-4.060489009652839,0.000000000000000000000000000000000000000000000000000000000000000000006832654849731592,1.670087128261729,4.060489009652839,0.000000000000000000000000000000000000000000000000000000000000000000006832654849731592
ENSMUSG00000022019,Tdrd3,0.20777164136613638,0.17573386442912575,0.5983307303939018,0.18389504089100508,-0.17573386442912575,0.5983307303939879
ENSMUSG00000115001,4930474H20Rik,0.00015764160953424613,0.691618975852677,1,0,-0.691618975852677,1
ENSMUSG00000115292,Gm33246,0.00031528321906849227,0.27658147657383303,1,0.0001952176654893897,-0.27658147657383303,1
ENSMUSG00000055421,Pcdh9,0.0007882080476712307,0.27658147657383303,1,0.0005856529964681691,-0.27658147657383303,1
