Gen	TotalRecuentos
AT3G43300	59689
AT5G07350	59438
AT4G17390	59432
AT3G48140	59085
AT4G05050	58816
AT5G37510	58731
AT5G19510	58586
AT2G27860	58408
AT2G39460	58304
AT2G47110	58269
AT1G24996	58232
AT5G45510	58111
AT3G13460	58049
AT2G30110	57880
AT2G37220	57869
AT3G55410	57745
AT4G24770	57586
AT2G33150	57479
AT1G63770	57139
AT4G18100	57058
AT4G31500	56963
AT1G17220	56704
AT3G53870	56633
AT1G09690	56617
AT1G78630	56024
AT1G70770	55967
AT2G21170	55777
ATMG00660	55673
AT3G54050	55571
AT1G68530	55533
AT5G15650	55461
AT3G42050	55395
AT3G30390	55336
AT5G43940	55190
AT2G35050	55176
AT5G38480	55008
ATCG00090	54625
AT1G48600	54447
AT5G16130	54441
AT3G24830	54411
AT4G40040	54050
AT1G78380	54006
AT2G31610	53979
AT2G17930	53906
AT1G06950	53844
AT5G49910	53840
AT3G03250	53595
AT3G44110	53487
AT1G20260	53409
AT1G08360	53364
AT1G09640	53317
AT5G19770	53288
AT5G65670	53275
AT4G35100	53164
AT2G44120	53137
AT4G33720	53080
AT3G53430	53021
AT4G37800	52956
ATMG00285	52956
AT1G59359	52895
AT3G29320	52857
AT5G13450	52806
AT5G50850	52669
AT3G23600	52609
AT3G63490	52551
AT5G30510	52549
AT1G09970	52521
AT2G26500	52426
AT2G07815	52317
AT2G41840	52260
AT1G76160	52152
AT5G56710	52124
AT3G51600	52101
AT4G39350	52062
AT4G26850	51987
AT1G48920	51976
AT3G63410	51969
AT2G23350	51938
AT1G20960	51937
AT1G30400	51892
AT3G24503	51877
AT1G03130	51689
AT1G05190	51612
ATMG01090	51588
AT1G10760	51542
AT5G20490	51502
AT1G15750	51347
AT2G17360	51220
AT1G22410	51130
AT5G11560	50984
AT1G50200	50983
AT2G19730	50945
AT1G53240	50839
AT1G24800	50556
AT3G22235	50515
AT5G48300	50508
AT3G14840	50440
AT5G60790	50423
AT1G26850	50274
ATMG09450	50257
AT2G05520	50122
AT4G38600	50099
AT5G60600	50033
AT5G25610	50008
AT3G52880	49958
AT3G13750	49945
AT5G66760	49926
AT5G54160	49773
AT4G01310	49768
AT1G29350	49765
AT5G20630	49688
AT1G12090	49680
AT3G27830	49679
AT1G31910	49654
AT1G13930	49646
AT5G19780	49611
AT2G36910	49607
AT3G46970	49578
AT1G20440	49416
AT5G13650	49327
AT2G03855	49218
AT2G14610	49161
ATMG00513	49047
AT1G29370	48999
AT2G24200	48964
AT3G09250	48932
AT3G06700	48919
AT5G14040	48860
AT3G60240	48849
AT5G08530	48704
AT5G23110	48702
AT1G62660	48664
AT2G44350	48616
AT4G38775	48454
AT1G47128	48428
AT3G52140	48411
AT4G24690	48368
AT5G10450	48336
AT4G01050	48315
AT5G57870	48303
AT2G43030	48292
AT5G19820	48276
AT2G26250	48248
AT3G53020	48003
AT3G51550	47888
AT4G16950	47665
AT1G25055	47626
AT5G61790	47591
AT1G11650	47501
AT4G20260	47406
AT5G14200	47306
AT1G02080	47275
AT4G02570	47258
AT3G22120	47234
AT3G22121	47229
AT3G55610	47228
AT2G39770	47142
AT1G52360	47106
AT1G29900	47100
AT1G17290	47085
AT5G54810	47070
AT1G22530	47066
AT5G64570	47031
AT4G33090	47016
AT3G56240	46960
AT5G58420	46757
AT3G14940	46670
AT5G06600	46652
AT3G60770	46648
AT1G72150	46539
AT2G37660	46510
AT3G29360	46312
AT4G05631	46261
AT5G19760	46097
AT2G07777	46080
AT4G31340	46019
AT3G16410	46007
AT5G28060	45993
AT5G13420	45989
AT3G24160	45973
AT1G30580	45929
AT4G17090	45832
AT3G13410	45809
AT3G53260	45788
ATMG01120	45714
AT2G36460	45640
AT1G09210	45457
AT4G31480	45419
AT1G32470	45352
AT5G34850	45250
AT5G42390	45240
AT2G46820	45224
AT3G52990	45211
AT2G44060	45201
AT2G44490	45149
AT1G70600	45071
AT1G09620	45043
AT4G00100	44852
AT5G58140	44788
AT3G13870	44745
AT5G60640	44676
AT1G69620	44645
AT3G07160	44620
AT2G07599	44594
AT1G21310	44576
AT3G52300	44525
AT1G25097	44511
AT1G56220	44454
AT5G02480	44443
AT5G20280	44363
AT2G35750	44328
AT4G10320	44306
AT4G19410	44298
AT4G37910	44264
AT2G43160	44259
AT4G30950	44205
AT2G20260	44182
AT2G47510	44135
AT3G63160	44108
AT3G19170	44078
AT3G22200	44070
AT1G10670	44046
AT3G16530	43990
AT1G02920	43985
AT5G26360	43952
AT5G13000	43841
AT2G08770	43743
AT2G47390	43707
AT2G43150	43699
AT4G16990	43675
AT1G15500	43658
AT1G27020	43653
AT2G31400	43596
AT1G79750	43553
AT1G76490	43516
AT1G32230	43508
AT2G20580	43504
AT5G42050	43266
AT4G15545	43220
ATCG00390	43199
AT2G26890	43169
AT2G38380	43157
AT4G38510	43143
AT4G36360	43116
AT5G21090	43110
AT4G12420	42981
AT1G03060	42966
AT1G09927	42949
AT1G79850	42947
AT4G31990	42938
AT5G47910	42912
AT2G23090	42855
AT3G11510	42840
AT5G26280	42795
AT5G17230	42758
AT3G12500	42722
AT4G18730	42661
AT1G50010	42657
AT3G14230	42627
AT1G48300	42492
AT5G47690	42459
AT5G64270	42411
AT2G36380	42399
AT3G09500	42386
AT1G20010	42331
AT3G48930	42301
AT3G01280	42260
AT2G47470	42256
AT2G36580	42253
AT4G14400	42217
AT5G17330	42155
AT4G19110	42099
AT1G76030	41997
AT2G35630	41995
AT5G67360	41971
AT5G20010	41969
AT2G46020	41949
AT3G07110	41834
AT1G79280	41830
AT5G54940	41795
AT1G50920	41664
AT4G29010	41613
AT1G31812	41598
AT1G65010	41358
AT3G08590	41325
AT1G08930	41297
AT5G37600	41261
AT5G41790	41233
AT2G43590	41223
AT5G20020	41140
AT4G02890	41123
ATCG00200	41115
AT1G73330	41100
AT1G67740	41058
AT4G20850	41010
AT1G23190	40989
AT2G40840	40900
AT5G36880	40882
AT5G65220	40854
AT1G14610	40838
AT3G02080	40838
AT2G26910	40764
AT2G35370	40734
AT4G12480	40718
AT3G02360	40651
ATMG09730	40646
AT1G62180	40637
AT2G27710	40622
AT3G28860	40597
AT1G03220	40555
AT1G07610	40538
AT3G24170	40528
AT1G66970	40519
AT5G42270	40481
AT3G59020	40472
AT2G20420	40444
AT4G11010	40443
AT5G42080	40403
AT4G16370	40374
AT5G28840	40327
AT2G41100	40239
AT5G35360	40211
AT4G30210	40191
AT2G44100	40173
AT1G07320	40169
AT3G54400	40166
AT5G35530	40155
AT4G31490	40146
AT3G50590	40122
AT5G03630	40121
AT5G12250	40092
AT2G32730	40021
AT4G00360	39989
AT2G21660	39985
AT1G71220	39960
AT1G03080	39951
AT2G43750	39928
AT5G20890	39918
AT3G01390	39916
AT4G15390	39845
AT2G39010	39804
AT4G34350	39802
AT1G69530	39769
AT2G27720	39622
AT4G12650	39576
AT5G46430	39561
AT4G35450	39516
AT3G02230	39456
AT1G70830	39358
AT2G28800	39336
AT5G54600	39286
AT2G07674	39279
AT1G01620	39251
AT5G62300	39206
AT1G80410	39174
AT4G17330	39111
AT4G32260	39087
AT5G36230	39063
AT2G20890	38983
AT5G05010	38983
AT5G59880	38980
AT3G20050	38962
AT5G23010	38883
AT4G08770	38866
AT3G48870	38810
AT3G16140	38804
AT4G33070	38640
AT2G22170	38582
AT3G62360	38523
AT3G01540	38516
AT5G40890	38482
AT1G24510	38445
AT5G03280	38340
AT1G49340	38325
AT5G60360	38308
AT5G45472	38305
AT2G47170	38303
AT3G49220	38303
AT3G48560	38261
AT3G57410	38250
AT1G04120	38241
AT5G62690	38229
AT2G07696	38198
AT4G14030	38195
AT5G09650	38127
AT2G37190	38118
AT1G20980	38098
AT4G35800	38073
AT4G16890	38072
AT3G16370	38033
AT5G08280	37918
AT4G35790	37899
AT2G07655	37858
AT4G14040	37802
AT2G07785	37795
AT1G66280	37793
AT1G74050	37741
AT3G10920	37704
AT3G60860	37653
AT2G44160	37622
AT2G41740	37597
AT4G26010	37588
AT1G20970	37572
AT2G42220	37536
AT2G41560	37520
AT1G43800	37507
AT4G10480	37500
AT5G60920	37455
AT5G09870	37340
AT1G12840	37321
AT5G53560	37320
AT2G24270	37319
AT5G40950	37310
AT1G78830	37273
AT4G16660	37270
AT2G13560	37256
AT3G22230	37202
AT2G19760	37197
AT5G02450	37196
AT1G48410	37186
AT4G21150	37177
AT5G52650	37147
AT5G49810	37135
AT3G25690	37127
AT4G30530	37087
AT1G04030	37062
AT3G59920	37048
AT2G16060	36999
AT5G56670	36996
AT4G30020	36941
AT1G08200	36917
AT3G13930	36795
AT1G58290	36763
AT5G03985	36751
AT5G04430	36746
AT2G43710	36742
AT5G40850	36738
AT2G47940	36716
AT1G15290	36659
AT4G24520	36637
AT1G16410	36598
AT1G16880	36556
AT5G61020	36439
AT1G53750	36427
AT3G15356	36420
AT4G23600	36420
AT1G50030	36368
AT5G14320	36298
AT2G07678	36265
AT5G61170	36257
AT5G22650	36241
AT1G19910	36237
AT2G43910	36232
AT1G77940	36222
AT3G22960	36222
AT4G39800	36185
AT1G49760	36135
AT2G36620	36134
AT1G09590	36034
AT3G56910	35887
AT1G18070	35874
AT3G13330	35860
AT3G09820	35854
AT1G30510	35757
AT1G55020	35727
AT5G02310	35658
AT2G07751	35627
AT4G38920	35576
AT3G51950	35564
AT3G13120	35560
AT3G04920	35527
AT5G15230	35452
AT3G48050	35428
AT1G10950	35419
AT4G03560	35397
AT2G05215	35356
AT2G07875	35262
AT2G37130	35259
AT5G37830	35233
AT3G23050	35221
AT1G01960	35086
ATMG01275	35052
AT1G24020	35048
AT5G12150	34994
AT1G71010	34978
AT1G12800	34971
AT1G51650	34968
AT3G50370	34962
AT3G27690	34931
AT2G32700	34930
AT3G56800	34903
AT2G36850	34896
AT5G41670	34816
AT4G23650	34814
AT2G42490	34748
AT4G18030	34741
AT3G55750	34739
AT1G23300	34729
