cluster,gene,avg_log2FC,pct.1,pct.2,p_val,p_val_adj
13,Pkd2,0.084962671953745,0.164,0.004,2.82240237296348E-11,5.64480474592697E-08
13,Epb41l3,0.670703696756699,0.309,0.024,2.20695746516795E-10,4.4139149303359E-07
13,Meis1,0.070139326880874,0.105,0.013,4.64576869158443E-10,9.29153738316887E-07
13,Ccl91,0.278445434378878,0.053,0,7.862023505804E-10,1.5724047011608E-06
13,Blvrb3,1.36766799015384,0.539,0.363,1.01054882954698E-09,2.02109765909396E-06
13,Tmem119,0.21869524282007,0.171,0,1.0394847065061E-09,2.07896941301221E-06
13,Tmem26,0.431570590040266,0.118,0.011,2.95824317429898E-09,5.91648634859795E-06
13,Klhl14,0.214891745283087,0.171,0,6.81644004531613E-09,1.36328800906323E-05
13,Gfra2,0.465108612791468,0.197,0.002,1.94021214236175E-08,3.88042428472351E-05
13,Csf1r,1.20113492442881,0.368,0.106,4.3915197413226E-08,8.7830394826452E-05
13,Alox5ap2,1.21001656931647,0.428,0.187,2.35848714707769E-07,0.000471697429416
13,Abcc3,0.580739240425133,0.243,0.051,2.03646038487209E-06,0.004072920769744
13,Clec4a2,0.552082501707632,0.184,0.001,6.40552268612471E-06,0.012811045372249
13,Clec4b1,0.384356806500603,0.151,0.004,2.29431495049761E-05,0.045886299009952
14,Tspan10,0.023717522830829,0.33,0.003,9.21068698442529E-163,1.84213739688506E-159
15,Il1r1,3.66207914038746,1,0.006,0,0
15,Trdv4,3.27532393938244,0.741,0,0,0
15,Kcnk1,1.67375444541114,0.852,0,0,0
15,Or4c12,0.862018346527452,0.481,0,0,0
15,Igsf11,0.399200149037609,0.444,0,0,0
15,Cdh10,2.90325772496494,0.963,0.017,4.20006674026124E-299,8.40013348052249E-296
15,Klrb1b1,0.693893001185006,0.444,0.004,9.98096710124221E-154,1.99619342024844E-150
15,Il23r,3.98857372093815,1,0.031,4.48927247418318E-124,8.97854494836637E-121
15,Stab2,2.55850592938543,0.593,0.005,2.25962180826012E-91,4.51924361652024E-88
15,Fat3,1.8092188129774,0.704,0.01,4.20775457646147E-72,8.41550915292294E-69
15,Hs6st2,1.38066414286829,0.481,0.011,1.46922460382824E-62,2.93844920765648E-59
15,1700113H08Rik,0.528918027817087,0.37,0.018,9.53961069478077E-32,1.90792213895615E-28
15,Spp1,0.229851223316395,0.037,0.001,1.09782080981439E-12,2.19564161962879E-09
