Feature,Normalized.Dispersion
ENSMUSG00000046337,-1.1768593935532157
ENSMUSG00000061518,-1.3292491529192363
ENSMUSG00000037351,-0.11639973257456575
ENSMUSG00000102416,-0.7950228836841915
ENSMUSG00000104237,-2.004280850210571
ENSMUSG00000026117,-0.9303288540036414
ENSMUSG00000026116,-0.3299491660784241
ENSMUSG00000102930,0.18016133918972355
ENSMUSG00000050122,-1.568054196199791
ENSMUSG00000026113,4.120957316456188
ENSMUSG00000086064,-1.0837153803285398
ENSMUSG00000026112,-0.983923514829832
ENSMUSG00000026111,-1.1537519724500913
ENSMUSG00000026110,1.9468350086525237
ENSMUSG00000026090,-0.4301055033714306
ENSMUSG00000089767,0.008824479217462057
ENSMUSG00000060771,2.6506763832669447
ENSMUSG00000097268,0.6455610908157432
ENSMUSG00000037216,-1.4222913555076926
ENSMUSG00000026088,-0.3181486814430363
ENSMUSG00000026087,-1.880989097104669
ENSMUSG00000061584,NaN
ENSMUSG00000087374,-1.8540315300820338
ENSMUSG00000058407,-1.3060844933948104
ENSMUSG00000026083,0.12527749390099951
ENSMUSG00000026082,0.7656907502971003
ENSMUSG00000103804,5.274686510895622
ENSMUSG00000102716,0.1484265577493358
ENSMUSG00000037138,0.36990590138526713
ENSMUSG00000085391,2.974668352682099
ENSMUSG00000085280,-0.5576140875521012
ENSMUSG00000087131,3.6280475149621867
ENSMUSG00000026080,1.617902779596881
ENSMUSG00000103647,1.5833178762142495
ENSMUSG00000026078,-2.3576148207235135
ENSMUSG00000026077,8.184630794289431
ENSMUSG00000073702,-1.1868188451945356
ENSMUSG00000003134,1.9248906080940706
ENSMUSG00000003135,-1.972505711455845
ENSMUSG00000085894,-0.8509295742206016
ENSMUSG00000048234,0.09273367610489487
ENSMUSG00000050967,NaN
ENSMUSG00000097083,NaN
ENSMUSG00000057173,-0.2859378745228155
ENSMUSG00000101634,-4.422278115878733
ENSMUSG00000026074,0.15207482209572581
ENSMUSG00000026073,1.0820528015650837
ENSMUSG00000097899,-1.1377179694799957
ENSMUSG00000026072,15.986808504751346
ENSMUSG00000070942,1.9804249230716455
ENSMUSG00000026069,15.99988870019422
ENSMUSG00000026070,13.7477986847191
ENSMUSG00000026068,1.5072306534860704
ENSMUSG00000026065,-2.6279172716619854
ENSMUSG00000026062,-1.9834577199661214
ENSMUSG00000103679,1.8806935950739836
ENSMUSG00000103270,1.565230939498856
ENSMUSG00000041945,-0.3685953745006098
ENSMUSG00000100832,NaN
ENSMUSG00000060424,NaN
ENSMUSG00000060679,-0.5592752414931207
ENSMUSG00000041907,-0.5333180120782911
ENSMUSG00000070939,0.7484790706057106
ENSMUSG00000100269,NaN
ENSMUSG00000041878,-0.9218877899155302
ENSMUSG00000010290,1.954596875190715
ENSMUSG00000008136,0.20379133360398224
ENSMUSG00000120601,0.7228167224459104
ENSMUSG00000099576,-2.6041847914190623
ENSMUSG00000066877,0.4890409932524181
ENSMUSG00000026051,1.9210453387923767
ENSMUSG00000100764,0.49279594848493913
ENSMUSG00000100635,NaN
ENSMUSG00000100480,3.237978512002907
ENSMUSG00000057363,0.06373163542904876
ENSMUSG00000120105,-0.8015691824239234
ENSMUSG00000041763,-0.21473957376364
ENSMUSG00000047343,3.827004748911515
ENSMUSG00000091844,11.068391701292304
ENSMUSG00000026049,-1.6480962276631186
ENSMUSG00000026047,-0.3807092604198425
ENSMUSG00000041684,-0.8812403903355455
ENSMUSG00000026048,0.03378902134092784
ENSMUSG00000056870,1.3473989496289043
ENSMUSG00000026042,NaN
ENSMUSG00000025995,-1.196012753430627
ENSMUSG00000121041,NaN
ENSMUSG00000025993,30.50434188615627
ENSMUSG00000041144,3.1465940958624476
ENSMUSG00000101337,8.090323277158406
ENSMUSG00000025986,1.2352770233764798
ENSMUSG00000100213,0.6798596581766287
ENSMUSG00000101447,NaN
ENSMUSG00000051616,NaN
ENSMUSG00000099608,NaN
ENSMUSG00000026109,1.1174040663877676
ENSMUSG00000101799,NaN
ENSMUSG00000101702,2.228332634771119
ENSMUSG00000026107,1.602394893870939
ENSMUSG00000120049,0.35915419027901124
ENSMUSG00000099413,2.555799393642922
ENSMUSG00000101741,NaN
ENSMUSG00000018417,0.20543471562217452
ENSMUSG00000062939,2.047807749333959
ENSMUSG00000109599,5.202259479318752
ENSMUSG00000026104,3.960796601428659
ENSMUSG00000026103,0.9828407022112671
ENSMUSG00000002881,0.7071878328705762
ENSMUSG00000100120,0.911323507462586
ENSMUSG00000099878,NaN
ENSMUSG00000043015,0.11990714704831473
ENSMUSG00000041439,1.6681480595350315
ENSMUSG00000100302,-0.07466079625201534
ENSMUSG00000026102,-0.07773109065862958
ENSMUSG00000041426,0.08661752064190006
ENSMUSG00000043629,-0.9529087014704282
ENSMUSG00000060715,0.08107409565291987
ENSMUSG00000026098,1.0980312745380785
ENSMUSG00000100763,0.7232701103488941
ENSMUSG00000026097,-1.10806271406456
ENSMUSG00000026096,0.8162007658426541
ENSMUSG00000121346,-0.5328737450022297
ENSMUSG00000026095,-2.0847185525983005
ENSMUSG00000096141,-0.43770839929085353
ENSMUSG00000026094,2.0037195999334303
ENSMUSG00000042807,17.171043531061002
ENSMUSG00000025983,1.777273164716422
ENSMUSG00000041303,0.16549044708229646
ENSMUSG00000073678,1.8963227701602363
ENSMUSG00000052331,0.0043786914939971345
ENSMUSG00000101674,4.917294132732426
ENSMUSG00000025982,-1.402795814825978
ENSMUSG00000025981,0.0799829060866011
ENSMUSG00000025980,1.1701824002846883
ENSMUSG00000073676,-0.07381787104784189
ENSMUSG00000025979,-0.9869091696206315
ENSMUSG00000025978,1.5672367377801735
ENSMUSG00000097649,0.6929620301157714
ENSMUSG00000046994,-0.18630952605257825
ENSMUSG00000025977,5.1761988548702025
ENSMUSG00000038349,4.0562349165497995
ENSMUSG00000038331,-1.3987278666820908
ENSMUSG00000087022,NaN
ENSMUSG00000097519,-3.760161325025492
ENSMUSG00000038323,0.20608394558686255
ENSMUSG00000048495,0.8284369024053493
ENSMUSG00000025971,-1.4587134948572407
ENSMUSG00000121279,NaN
ENSMUSG00000038305,6.687312405388062
ENSMUSG00000091283,1.1267307676921614
ENSMUSG00000054770,-0.259462080087611
ENSMUSG00000026039,0.12912947523815
ENSMUSG00000063558,-0.8613169630518357
ENSMUSG00000064294,2.1419049076226897
ENSMUSG00000038242,NaN
ENSMUSG00000089822,0.4037256130011874
ENSMUSG00000079554,-0.17373913244241465
ENSMUSG00000051223,-1.45731499002775
ENSMUSG00000026034,-0.19921919358794035
ENSMUSG00000026035,-1.1866999456252736
ENSMUSG00000026036,0.049502007372582056
ENSMUSG00000026037,-0.016131363102424575
ENSMUSG00000085054,1.562918920789368
ENSMUSG00000038174,1.769883833002795
ENSMUSG00000026032,-1.5486084241802156
ENSMUSG00000047528,1.0820399588596559
ENSMUSG00000121483,-1.1910785012805913
ENSMUSG00000026031,-0.3245268870349862
ENSMUSG00000026029,-0.6425743705405218
ENSMUSG00000026028,0.22363423488548884
ENSMUSG00000026027,-0.3011932853947237
ENSMUSG00000072295,1.4456543561437634
ENSMUSG00000099752,1.8570771996810387
ENSMUSG00000038079,-1.55390016992741
ENSMUSG00000097573,-0.9002250352446464
ENSMUSG00000079550,0.9910606068686368
ENSMUSG00000101586,-0.35484768346419676
ENSMUSG00000026024,5.296916067190507
ENSMUSG00000120458,-1.3741440090211798
ENSMUSG00000026023,-0.6908220166424611
ENSMUSG00000041075,4.4756098094397645
ENSMUSG00000047361,1.0299793831785689
ENSMUSG00000099811,1.3572835837092343
ENSMUSG00000026021,-0.9389874380503356
ENSMUSG00000026020,-0.4423086982634657
ENSMUSG00000119961,-1.3537632762146512
ENSMUSG00000067336,3.9475340146721076
ENSMUSG00000041040,1.796944773906711
ENSMUSG00000026018,2.430855276987134
ENSMUSG00000026019,2.99343707107001
ENSMUSG00000026017,3.9983850802660603
