PX_Cd0_Rep1_nat	PX_Cd0_Rep2_nat	PX_Cd0_Rep3_nat	WT_Cd0_Rep1_nat	WT_Cd0_Rep3_nat
AT1G04393	61	75	71	46	74
AT1G04397	18	17	30	6	17
AT1G04400	5401	5308	5961	5046	5691
AT1G04403	0	0	0	0	0
AT1G04407	0	0	1	4	0
AT1G04410	37858	36498	40739	44449	38834
AT1G04413	510	477	539	521	438
AT1G04417	5	6	16	10	11
AT1G04420	2117	2175	2452	2545	2687
AT1G04423	15	28	10	14	18
AT1G04425	161	135	152	122	138
AT1G04427	28	33	40	24	26
AT1G04430	5655	5452	6081	6136	5849
AT1G04433	320	281	319	286	312
AT1G04437	169	193	203	150	190
AT1G04440	4201	4220	4579	3733	4138
AT1G04443	0	0	0	0	0
AT1G04445	6	5	2	3	4
AT1G04447	0	0	0	0	0
AT1G04450	1	0	0	0	0
AT1G04453	1	0	0	0	3
AT1G04455	0	0	1	0	0
AT1G04463	207	264	264	215	238
AT1G04467	471	384	395	468	508
AT1G04470	1	1	0	1	0
AT1G04473	135	157	132	106	129
AT1G04477	248	235	249	310	246
AT1G04480	3841	3508	4752	4489	4036
AT1G04483	85	116	125	97	73
AT1G04487	876	851	952	706	700
AT1G04490	100	77	99	97	71
AT1G04493	31	28	67	29	41
AT1G04497	29	41	49	44	45
AT1G04500	14	19	17	14	8
AT1G04503	2959	2949	3368	3358	3493
AT1G04507	141	132	149	108	132
AT1G04510	1873	2165	2411	1852	2010
AT1G04513	430	447	490	384	440
AT1G04517	4	3	1	0	4
AT1G04520	736	836	880	845	804
AT1G04523	1	0	1	0	0
AT1G04527	1	4	0	3	4
AT1G04530	1762	1754	1844	1529	1528
AT1G04533	43	28	41	44	56
AT1G04537	675	665	713	653	638
AT1G04540	146	164	190	181	226
AT1G04547	2	0	0	1	0
AT1G04550	832	738	783	759	740
AT1G04555	285	235	254	236	205
AT1G04557	6	0	5	4	9
AT1G04560	1	23	7	0	1
AT1G04563	10	15	9	9	6
AT1G04567	144	132	167	144	98
AT1G04570	49	53	43	38	57
AT1G04573	0	0	5	0	1
AT1G04577	8	17	9	23	11
AT1G04580	57	69	79	9	24
AT1G04583	3	3	4	2	4
AT1G04587	182	217	226	193	218
AT1G04590	909	892	1016	808	812
AT1G04593	0	0	1	4	0
AT1G04597	0	0	0	0	0
AT1G04600	54	52	39	39	65
AT1G04603	0	2	0	0	0
AT1G04607	0	0	0	0	0
AT1G04610	138	145	148	166	130
AT1G04620	993	976	1137	1025	1264
AT1G04623	2	2	0	0	0
AT1G04625	205	208	231	270	218
AT1G04630	1046	931	983	1210	1023
AT1G04635	111	104	127	126	92
AT1G04640	955	875	974	823	829
AT1G04643	12	12	15	26	24
AT1G04645	0	0	0	0	0
AT1G04647	553	390	411	356	371
AT1G04650	142	173	164	153	142
AT1G04653	0	0	0	0	0
AT1G04657	89	104	97	97	77
AT1G04660	12	9	13	12	18
AT1G04667	0	1	0	0	0
AT1G04670	0	0	0	3	1
AT1G04673	1	0	0	0	0
AT1G04677	2	2	0	2	0
AT1G04680	3477	3768	4096	3798	3951
AT1G04683	2	2	1	0	2
AT1G04687	0	0	0	0	0
AT1G04690	3222	3129	3453	3563	3323
AT1G04693	0	0	0	0	0
AT1G04697	121	102	102	110	161
AT1G04700	472	465	492	431	460
AT1G04703	0	1	0	0	0
AT1G04707	51	29	51	69	60
AT1G04710	1041	1155	1213	888	1031
AT1G04713	1	7	5	6	3
AT1G04717	0	1	0	0	0
AT1G04720	0	0	2	0	1
AT1G04723	213	244	316	324	293
AT1G04730	479	509	634	521	573
AT1G04733	77	100	69	51	63
AT1G04737	382	316	382	344	304
AT1G04743	11	10	10	8	8
AT1G04747	0	0	0	0	0
AT1G04750	3703	2944	3587	3600	3040
AT1G04753	1	3	6	0	1
AT1G04760	406	513	589	444	588
AT1G04763	0	0	0	0	0
AT1G04767	27	33	28	27	30
AT1G04770	1038	1140	1276	1089	1243
AT1G04773	133	153	132	147	151
AT1G04778	50	33	43	39	21
AT1G04780	2163	2245	2666	1923	2167
AT1G04783	0	0	0	0	1
AT1G04787	0	0	0	0	0
AT1G04790	1359	1489	1537	1186	1319
AT1G04793	0	0	0	2	3
AT1G04797	14	11	18	18	10
AT1G04800	318	443	463	308	299
AT1G04803	35	31	49	34	31
AT1G04807	5	10	5	4	8
AT1G04810	3087	3146	3511	2692	3104
AT1G04813	0	0	1	0	0
AT1G04817	8	15	6	8	8
AT1G04820	11533	11281	12663	13545	13359
AT1G04823	226	232	249	243	268
AT1G04827	492	435	515	443	400
AT1G04830	697	820	792	701	724
AT1G04833	1116	1026	1046	894	675
AT1G04837	442	396	435	440	413
AT1G04840	110	105	110	85	107
AT1G04847	6	3	3	6	2
